,floyd_stance,floyd_followup,username,date,text,hash,,,,,,
18608,0,0,Google,5/4/20,"@shapednoise Thanks for following. Would you mind sharing the case ID number over DMs, so we have additional details? The case ID # is the string of numbers in front of the subject on any emails you'd have received from our support team. Appreciate it.",h8673974576649339940,,,,,,
18609,0,0,Google,5/4/20,@MLB Hope you all keep swinging for the fences ⚾️ (just don't break anything!),h12875354181254258385,,,,,,
18610,0,0,Google,5/4/20,"@NBA No bull, we're flipping out over here! (Well, maybe one 🐂.)",h13632519482668257531,,,,,,
18611,0,0,Google,5/4/20,We're huge fans of how teachers are recreating the classroom feel online. 🤓 Fun touches like these are helpful for kids to stay excited about school while they #stayhome. https://t.co/XrjoWZ9fTL,h11842303224846909030,,,,,,
18612,0,0,Google,5/4/20,We’ve all been thrown a few curveballs ⚾ recently and many of us are looking for ways to keep swinging. Searches for “backyard batting cages” have spiked by over 5000% as more people wish for @mlb to be back → https://t.co/PbWJCg3oNz https://t.co/TElRbwCqOa,h7325748081597695657,,,,,,
18613,0,0,Google,5/4/20,"In April, the U.S. searched for the term “shredded” more than ever before. It’s not a fitness reference  — it’s for recipes involving “shredded chicken” → https://t.co/YvcMg7leyf 🐔 https://t.co/8iheOIotzK",h1988886788231331556,,,,,,
18614,0,0,Google,5/4/20,People are looking for creative ways to stay active at home. 💪 Searches for “diy” equipment like pull-up bars and dumbbells have increased by over 800% this month → https://t.co/qYspTrzN54 https://t.co/pUYRPvM2Qa,h1765589385381455621,,,,,,
18615,0,0,Google,5/4/20,"When it comes to searches for busting a move “tik tok dance tutorial” did a Toosie Slide into first place, beating out “hip hop dance tutorial” and “online dance tutorial” overall. How about that @Drake? https://t.co/dY6DuJUeZt https://t.co/R5XS4tLeeW",h11992760005941690060,,,,,,
18616,0,0,Google,5/4/20,People are looking to live out their wildest @nba mascot hoop dreams this month as searches for “trampoline basketball hoop” fly high. Bounce around the trends tool to see which country is searching the most → https://t.co/SxHVatD7dg 🏀 https://t.co/lJSCh21853,h6355006647655147682,,,,,,
18617,0,0,Google,5/4/20,"Love is the answer. That’s right, heart emojis ❤️ were searched 10x more than the mask emoji 😷 this month. Find out what other emoji comes close → https://t.co/kMvDcnwTJl https://t.co/HanNEdvdsN",h16610058097502398718,,,,,,
18618,0,0,Google,5/4/20,The world is searching for emojis more than ever before. Which emoji do you think was the most searched this month?,h8972145957146585949,,,,,,
18619,0,0,Google,5/4/20,📈 A thread on Search trends: From dance challenges 🎶 to trampoline dunks 🏀 to shredded chicken🐔 — here’s what the world is searching for this week. https://t.co/3rw6rJZO3L,h12324924553290226402,,,,,,
18620,0,0,Google,5/4/20,"@shapednoise Hi, there. That's not the experience we'd like you to have. Can you follow us and let us know when you have so that we can get some details and look into this further?",h8800418908870096110,,,,,,
