floyd_stance,floyd_followup,username,date,text,hash
0,0,ADMupdates,2020-05-05,"Especially now, access to nutrition has the power to solve many of the world’s challenges. On #GivingTuesday, we’re giving even more support to organizations across the world who provide hunger relief and fight on the front lines against #COVID. https://t.co/qszeMJ3k4Z https://t.co/Ui6XXPMkkU",h18246819314043943882
0,0,ADMupdates,2020-05-06,ADM Directors Declare Cash Dividend https://t.co/CVZXDT06Ls https://t.co/09QXG9AZVG,h7669429277519101170
0,0,ADMupdates,2020-05-07,"We’re proud Jeff Belcher is part of #TeamADM. A licensed paramedic, he’s taken temporary paid leave from his day job in maintenance at ADM to help save lives during the #coronavirus pandemic. Read his story: https://t.co/y1SWhXuxXy https://t.co/XDPxUPUWi1",h11604890982154687513
0,0,ADMupdates,2020-05-11,"For many, being a working mom looks different right now. We're so thankful to the moms on #TeamADM for being fully committed to improving global nutrition and nourishing quality of life. Happy #MothersDay ! https://t.co/OlP084EnxD",h2049076336731789608
0,0,ADMupdates,2020-05-13,"""You feel comforted and cocooned."" In an interview with @Inverse, ADM Chief Flavorist Marie Wright dives into the science behind #comfortfood and why we’re craving it right now: https://t.co/wNPjnxbgZ3 #icecream https://t.co/vEBYaAtPhn",h11694367689268620816
0,0,ADMupdates,2020-05-13,"Hunger. For many, it’s been exacerbated by #covid19. This Friday, in a webinar with @Concern , ADM Chief Sustainability Officer Alison Taylor will explain how we can all be part of the solution. RSVP here: https://t.co/tXf3HEwsmn https://t.co/nDQltIkVM0",h5445141122821958794
0,0,ADMupdates,2020-05-14,The health of our natural resources is critical to our future. ADM’s Alison Taylor tells @Greenbiz how our goals to curb greenhouse gas emissions and reduce energy intensity will create a stronger ADM and a better world: https://t.co/xsV4xIBSp5,h9214756835056267076
0,0,ADMupdates,2020-05-14,"We're honored to support #HealthcareHeroes and provide access to nutrition worldwide. In Indonesia, #ADMCares partnered with @ACT_JaBar's to provide food, water &amp; medical &amp; cleaning supplies to those impacted by #COVID-19. https://t.co/C0LzV7OLeO",h12414057533401012339
0,0,ADMupdates,2020-05-18,"Our investment in the R&amp;D of probiotics and their effectiveness has been
recognized with three prestigious awards from @NutraEurope. The winning
solutions were praised by judges for being “truly innovative” natural
probiotics ingredients. #NIAAwards20 https://t.co/m94dm1fFuN",h9585952740351525975
0,0,ADMupdates,2020-05-19,"Today, we announced new goals to reduce water intensity by 10 percent and achieve a 90 percent landfill diversion rate by 2035. Our commitments to sustainable practices will result in a stronger ADM and a better world: https://t.co/UCouvDqIb5 https://t.co/Zulej0Cx7z",h15750973776498786204
